comment,predicted_label,prediction_score,sentiment_label,sentiment_score
This ride looks unreal It is impressive,Excitation,0.7778525352478027,Positive,0.9999995231628418
The design appears fast I want to try it,Curiosity,0.6490029692649841,Neutral,0.9998706579208374
The launch seems well made It seems fun,Happy,0.99699229,Positive,0.9564154744148254
The rollercoaster looks incredible It looks great,Comparison,0.81260854,Positive,1
The design delivers well made I like it,Happy,0.9527207612991333,Positive,0.9999234676361084
The launch appears unreal It looks enjoyable,Excitation,0.9861067533493042,Negative,0.9983792304992676
The track layout appears powerful It looks awesome,Excitation,0.781062663,Positive,0.9999998807907104
The first drop looks fast It seems fun,Excitation,0.9734861254692078,Positive,0.4670133590698242
The engineers is fast It looks great,Happy,0.7927886247634888,Positive,0.9999974966049194
The engineers seems incredible It seems fun,Happy,0.9872961044311523,Positive,0.9999028444290161
This ride runs thrilling It looks awesome,Excitation,0.9397600889205933,Positive,0.9999994039535522
The first drop looks unreal It is worth trying,Comparison,0.6542425751686096,Negative,0.9142722487449646
The launch seems unique I want to try it,Excitation,0.7243962287902832,Neutral,0.992095947
The launch is impressive It looks awesome,Excitation,0.8362834453582764,Positive,1
The engineers offers smooth I want to try it,Curiosity,0.729893148,Neutral,0.9988229870796204
The rollercoaster appears shaky I want to try it,Excitation,0.5089820027351379,Neutral,0.9993852376937866
The design seems unique It is impressive,Excitation,0.9809983372688293,Positive,1
The station runs fast I want to ride it,Excitation,0.8164964318275452,Neutral,0.9999051094055176
The engineers appears impressive It is impressive,Comparison,0.6377108693122864,Positive,1
This ride offers impressive It is exciting,Excitation,0.9987761378288269,Positive,1
The launch appears fast It is worth trying,Excitation,0.6671895384788513,Neutral,0.9988202452659607
The track layout is impressive It looks enjoyable,Excitation,0.9813553690910339,Positive,1
The design runs amazing It looks great,Happy,0.7860448360443115,Positive,0.9999998807907104
The rollercoaster runs unique It is impressive,Excitation,0.818583071,Positive,1
This ride appears well made I want to ride it,Comparison,0.6561263799667358,Positive,0.9970908164978027
The design performs unique It is worth trying,Curiosity,0.8354116678237915,Neutral,0.8540624976158142
The new coaster is fast It looks great,Comparison,0.7245572209358215,Positive,0.9999998807907104
The launch delivers shaky It looks awesome,Excitation,0.3180132508277893,Positive,0.9777451157569885
The track layout offers unique I want to ride it,Excitation,0.679929256,Neutral,0.9922818541526794
The design feels interesting It is worth trying,Excitation,0.968321681,Neutral,0.963380754
This ride looks incredible It is exciting,Excitation,0.9983761310577393,Positive,1
The new coaster moves well made I want to try it,Comparison,0.7625321745872498,Neutral,0.9990105628967285
The track layout moves well made It is worth trying,Curiosity,0.558671772,Neutral,0.9996547698974609
The launch is interesting I like it,Excitation,0.9820082783699036,Neutral,0.9753182530403137
This ride delivers shaky I want to ride it,Curiosity,0.4535491466522217,Neutral,0.641602635
This ride is unique It is exciting,Excitation,0.9987771511077881,Positive,0.9999997615814209
The station looks unreal It is impressive,Excitation,0.759544313,Positive,0.9999884366989136
The launch feels interesting I want to try it,Excitation,0.9628824,Neutral,0.9969576597213745
The first drop delivers well made It looks great,Happy,0.8465539216995239,Positive,1
The new coaster runs fast It looks enjoyable,Excitation,0.9529747366905212,Positive,0.9996209144592285
The launch looks well made I want to ride it,Excitation,0.6218901872634888,Positive,0.9911342859268188
The station looks incredible I want to ride it,Excitation,0.8464663028717041,Positive,0.999890924
The first drop appears amazing It looks great,Observation,0.8600060343742371,Positive,1
The Berlin coaster seems incredible It is worth trying,Excitation,0.8260972499847412,Neutral,0.9757124781608582
This ride delivers fast It is exciting,Excitation,0.9984389543533325,Positive,1
The station delivers fast It is impressive,Excitation,0.9518957138061523,Positive,1
The launch offers unique It looks great,Happy,0.7914450168609619,Positive,0.9999998807907104
The launch appears unreal It is impressive,Excitation,0.6534202694892883,Positive,0.9999977350234985
The track layout runs powerful It looks enjoyable,Happy,0.9700106382369995,Positive,1
The station seems smooth It looks great,Happy,0.9406049251556396,Positive,0.999987006
This ride runs amazing It looks awesome,Comparison,0.6785861253738403,Positive,0.9999991655349731
The launch appears well made It looks great,Happy,0.9832532405853271,Positive,0.9999998807907104
The rollercoaster seems unreal I like it,Excitation,0.6598266363143921,Neutral,0.6956542730331421
The design seems amazing I want to ride it,Excitation,0.762487531,Positive,0.9995372295379639
This ride delivers smooth It is impressive,Happy,0.914316714,Positive,1
The station appears interesting It is exciting,Excitation,0.999190629,Positive,0.9999998807907104
The Berlin coaster offers powerful It looks great,Comparison,0.39469754695892334,Positive,1
The station moves smooth I want to try it,Curiosity,0.7517512440681458,Neutral,0.9989357590675354
This ride moves thrilling It seems fun,Excitation,0.981461227,Positive,0.9999663829803467
The track layout performs unreal I like it,Curiosity,0.5233269929885864,Neutral,0.9898926615715027
This ride looks unique I want to ride it,Excitation,0.6467550992965698,Positive,0.9993597865104675
This ride appears smooth It looks great,Happy,0.89522016,Positive,0.9999998807907104
The launch performs fast It seems fun,Happy,0.9904806613922119,Positive,0.9609268307685852
The new coaster is powerful It looks great,Comparison,0.6276057362556458,Positive,1
This ride performs interesting I want to try it,Excitation,0.967690647,Neutral,0.9774383902549744
The rollercoaster delivers amazing I want to try it,Excitation,0.7435969114303589,Positive,0.998424768
The design feels unique It is worth trying,Curiosity,0.8886904716491699,Positive,0.9369829893112183
The station appears unique I like it,Curiosity,0.7170191407203674,Neutral,0.606869102
The new coaster moves amazing It seems fun,Excitation,0.9363612532615662,Positive,0.82098788
